,Player,Market_value(m),Position,Age,Nationality,Club,League
0,Lautaro Martínez ,80.0, Centre-Forward,24,Argentina,Inter Milan,ITA
1,Matthijs de Ligt ,70.0, Centre-Back,22,Netherlands,Juventus FC,ITA
2,Federico Chiesa ,70.0, Right Winger,24,Italy,Juventus FC,ITA
3,Sergej Milinković-Savić ,70.0, Central Midfield,26,Serbia,SS Lazio,ITA
4,Nicolò Barella ,65.0, Central Midfield,24,Italy,Inter Milan,ITA
5,Alessandro Bastoni ,60.0, Centre-Back,22,Italy,Inter Milan,ITA
6,Victor Osimhen ,60.0, Centre-Forward,22,Nigeria,SSC Napoli,ITA
7,Milan Skriniar ,60.0, Centre-Back,26,Slovakia,Inter Milan,ITA
8,Franck Kessié ,55.0, Central Midfield,25,Cote d'Ivoire,AC Milan,ITA
9,Theo Hernández ,50.0, Left-Back,24,France,AC Milan,ITA
10,Dušan Vlahovic ,50.0, Centre-Forward,21,Serbia,ACF Fiorentina,ITA
11,Paulo Dybala ,50.0, Second Striker,28,Argentina,Juventus FC,ITA
12,Stefan de Vrij ,50.0, Centre-Back,29,Netherlands,Inter Milan,ITA
13,Piotr Zielinski ,50.0, Attacking Midfield,27,Poland,SSC Napoli,ITA
14,Lorenzo Insigne ,48.0, Left Winger,30,Italy,SSC Napoli,ITA
15,Kalidou Koulibaly ,48.0, Centre-Back,30,Senegal,SSC Napoli,ITA
16,Álvaro Morata ,45.0, Centre-Forward,29,Spain,Juventus FC,ITA
17,Fabián Ruiz ,45.0, Central Midfield,25,Spain,SSC Napoli,ITA
18,Lorenzo Pellegrini ,45.0, Central Midfield,25,Italy,AS Roma,ITA
19,Hirving Lozano ,45.0, Right Winger,26,Mexico,SSC Napoli,ITA
20,Marcelo Brozovic ,40.0, Defensive Midfield,29,Croatia,Inter Milan,ITA
21,Nicolò Zaniolo ,40.0, Right Winger,22,Italy,AS Roma,ITA
22,Luis Alberto ,40.0, Central Midfield,29,Spain,SS Lazio,ITA
23,Fikayo Tomori ,40.0, Centre-Back,24,England,AC Milan,ITA
