Player,Market_value(m),Position,Age,Nationality,Club
Romelu Lukaku ,100.0, Centre-Forward,28,Belgium,Chelsea FC
Harry Kane ,100.0, Centre-Forward,28,England,Tottenham Hotspur
Mohamed Salah ,100.0, Right Winger,29,Egypt,Liverpool FC
Kevin De Bruyne ,90.0, Attacking Midfield,30,Belgium,Manchester City
Bruno Fernandes ,90.0, Attacking Midfield,27,Portugal,Manchester United
Raheem Sterling ,85.0, Left Winger,27,England,Manchester City
Jadon Sancho ,85.0, Left Winger,21,England,Manchester United
Marcus Rashford ,85.0, Left Winger,24,England,Manchester United
Phil Foden ,85.0, Central Midfield,21,England,Manchester City
Sadio Mané ,80.0, Left Winger,29,Senegal,Liverpool FC
Jack Grealish ,80.0, Left Winger,26,England,Manchester City
Heung-min Son ,80.0, Left Winger,29,"Korea, South",Tottenham Hotspur
Trent Alexander-Arnold ,80.0, Right-Back,23,England,Liverpool FC
Rúben Dias ,75.0, Centre-Back,24,Portugal,Manchester City
Mason Mount ,75.0, Attacking Midfield,23,England,Chelsea FC
Declan Rice ,75.0, Defensive Midfield,23,England,West Ham United
Bernardo Silva ,75.0, Attacking Midfield,27,Portugal,Manchester City
Rodri ,70.0, Defensive Midfield,25,Spain,Manchester City
Kai Havertz ,70.0, Attacking Midfield,22,Germany,Chelsea FC
Raphaël Varane ,65.0, Centre-Back,28,France,Manchester United
Bukayo Saka ,65.0, Right Midfield,20,England,Arsenal FC
Andrew Robertson ,65.0, Left-Back,27,Scotland,Liverpool FC
João Cancelo ,60.0, Right-Back,27,Portugal,Manchester City
Alisson ,60.0, Goalkeeper,29,Brazil,Liverpool FC
Fabinho ,60.0, Defensive Midfield,28,Brazil,Liverpool FC
Wilfred Ndidi ,60.0, Defensive Midfield,25,Nigeria,Leicester City
Diogo Jota ,60.0, Centre-Forward,25,Portugal,Liverpool FC
Gabriel Jesus ,60.0, Centre-Forward,24,Brazil,Manchester City
Youri Tielemans ,55.0, Central Midfield,24,Belgium,Leicester City
Richarlison ,55.0, Centre-Forward,24,Brazil,Everton FC
Virgil van Dijk ,55.0, Centre-Back,30,Netherlands,Liverpool FC
Paul Pogba ,55.0, Central Midfield,28,France,Manchester United
Reece James ,55.0, Right-Back,22,England,Chelsea FC
N'Golo Kanté ,50.0, Defensive Midfield,30,France,Chelsea FC
Timo Werner ,50.0, Centre-Forward,25,Germany,Chelsea FC
James Maddison ,50.0, Attacking Midfield,25,England,Leicester City
Mason Greenwood ,50.0, Right Winger,20,England,Manchester United
Ederson ,50.0, Goalkeeper,28,Brazil,Manchester City
Harry Maguire ,48.0, Centre-Back,28,England,Manchester United
Jorginho ,45.0, Defensive Midfield,30,Italy,Chelsea FC
Dominic Calvert-Lewin ,45.0, Centre-Forward,24,England,Everton FC
Aymeric Laporte ,45.0, Centre-Back,27,Spain,Manchester City
Tomas Soucek ,45.0, Defensive Midfield,26,Czech Republic,West Ham United
Christian Pulisic ,45.0, Right Winger,23,United States,Chelsea FC
Caglar Söyüncü ,45.0, Centre-Back,25,Turkey,Leicester City
Mateo Kovacic ,45.0, Central Midfield,27,Croatia,Chelsea FC
Luke Shaw ,42.0, Left-Back,26,England,Manchester United
