Player,Market_value(m),Position,Age,Nationality,Club
Erling Haaland ,150.0, Centre-Forward,21,Norway,Borussia Dortmund
Joshua Kimmich ,85.0, Defensive Midfield,26,Germany,Bayern Munich
Jude Bellingham ,75.0, Central Midfield,18,England,Borussia Dortmund
Leroy Sané ,70.0, Left Winger,26,Germany,Bayern Munich
Leon Goretzka ,70.0, Central Midfield,26,Germany,Bayern Munich
Alphonso Davies ,70.0, Left-Back,21,Canada,Bayern Munich
Florian Wirtz ,70.0, Attacking Midfield,18,Germany,Bayer 04 Leverkusen
Serge Gnabry ,70.0, Right Winger,26,Germany,Bayern Munich
Dayot Upamecano ,55.0, Centre-Back,23,France,Bayern Munich
Jamal Musiala ,55.0, Attacking Midfield,18,Germany,Bayern Munich
Christopher Nkunku ,55.0, Attacking Midfield,24,France,RB Leipzig
Kingsley Coman ,55.0, Right Winger,25,France,Bayern Munich
Dani Olmo ,50.0, Attacking Midfield,23,Spain,RB Leipzig
Robert Lewandowski ,50.0, Centre-Forward,33,Poland,Bayern Munich
Lucas Hernández ,50.0, Centre-Back,25,France,Bayern Munich
Moussa Diaby ,45.0, Left Winger,22,France,Bayer 04 Leverkusen
Giovanni Reyna ,42.0, Attacking Midfield,19,United States,Borussia Dortmund
Edmond Tapsoba ,40.0, Centre-Back,22,Burkina Faso,Bayer 04 Leverkusen
Patrik Schick ,40.0, Centre-Forward,25,Czech Republic,Bayer 04 Leverkusen
André Silva ,38.0, Centre-Forward,26,Portugal,RB Leipzig
Raphaël Guerreiro ,35.0, Left-Back,28,Portugal,Borussia Dortmund
Niklas Süle ,35.0, Centre-Back,26,Germany,Bayern Munich
Manuel Akanji ,30.0, Centre-Back,26,Switzerland,Borussia Dortmund
Angeliño ,30.0, Left Midfield,25,Spain,RB Leipzig
Donyell Malen ,30.0, Centre-Forward,23,Netherlands,Borussia Dortmund
Benjamin Pavard ,30.0, Right-Back,25,France,Bayern Munich
