,Player,Market_value(m),Position,Age,Nationality,Club,League
0,Harry Kane ,120.0, Centre-Forward,28,England,Tottenham Hotspur,ENG
1,Kevin De Bruyne ,100.0, Attacking Midfield,30,Belgium,Manchester City,ENG
2,Jack Grealish ,100.0, Left Winger,26,England,Manchester City,ENG
3,Mohamed Salah ,100.0, Right Winger,29,Egypt,Liverpool FC,ENG
4,Romelu Lukaku ,100.0, Centre-Forward,28,Belgium,Chelsea FC,ENG
5,Bruno Fernandes ,90.0, Attacking Midfield,27,Portugal,Manchester United,ENG
6,Raheem Sterling ,90.0, Left Winger,27,England,Manchester City,ENG
7,Jadon Sancho ,90.0, Left Winger,21,England,Manchester United,ENG
8,Sadio Mané ,85.0, Left Winger,29,Senegal,Liverpool FC,ENG
9,Marcus Rashford ,85.0, Left Winger,24,England,Manchester United,ENG
10,Heung-min Son ,85.0, Left Winger,29,"Korea, South",Tottenham Hotspur,ENG
11,Phil Foden ,80.0, Central Midfield,21,England,Manchester City,ENG
12,Trent Alexander-Arnold ,75.0, Right-Back,23,England,Liverpool FC,ENG
13,Rúben Dias ,75.0, Centre-Back,24,Portugal,Manchester City,ENG
14,Mason Mount ,75.0, Attacking Midfield,22,England,Chelsea FC,ENG
15,Bernardo Silva ,70.0, Attacking Midfield,27,Portugal,Manchester City,ENG
16,Raphaël Varane ,70.0, Centre-Back,28,France,Manchester United,ENG
17,Kai Havertz ,70.0, Attacking Midfield,22,Germany,Chelsea FC,ENG
18,Rodri ,70.0, Defensive Midfield,25,Spain,Manchester City,ENG
19,Declan Rice ,70.0, Defensive Midfield,22,England,West Ham United,ENG
20,Bukayo Saka ,65.0, Left Midfield,20,England,Arsenal FC,ENG
21,Andrew Robertson ,65.0, Left-Back,27,Scotland,Liverpool FC,ENG
22,Alisson ,60.0, Goalkeeper,29,Brazil,Liverpool FC,ENG
23,Fabinho ,60.0, Defensive Midfield,28,Brazil,Liverpool FC,ENG
24,Gabriel Jesus ,60.0, Centre-Forward,24,Brazil,Manchester City,ENG
25,Paul Pogba ,60.0, Central Midfield,28,France,Manchester United,ENG
26,Wilfred Ndidi ,60.0, Defensive Midfield,25,Nigeria,Leicester City,ENG
27,N'Golo Kanté ,55.0, Defensive Midfield,30,France,Chelsea FC,ENG
28,João Cancelo ,55.0, Right-Back,27,Portugal,Manchester City,ENG
29,Virgil van Dijk ,55.0, Centre-Back,30,Netherlands,Liverpool FC,ENG
30,Youri Tielemans ,55.0, Central Midfield,24,Belgium,Leicester City,ENG
31,Richarlison ,55.0, Centre-Forward,24,Brazil,Everton FC,ENG
32,Timo Werner ,55.0, Centre-Forward,25,Germany,Chelsea FC,ENG
33,James Maddison ,50.0, Attacking Midfield,25,England,Leicester City,ENG
34,Harry Maguire ,50.0, Centre-Back,28,England,Manchester United,ENG
35,Christian Pulisic ,50.0, Right Winger,23,United States,Chelsea FC,ENG
36,Ferran Torres ,50.0, Right Winger,21,Spain,Manchester City,ENG
37,Mason Greenwood ,50.0, Right Winger,20,England,Manchester United,ENG
38,Ederson ,50.0, Goalkeeper,28,Brazil,Manchester City,ENG
39,Jorginho ,45.0, Defensive Midfield,30,Italy,Chelsea FC,ENG
40,Dominic Calvert-Lewin ,45.0, Centre-Forward,24,England,Everton FC,ENG
41,Wilfried Zaha ,45.0, Left Winger,29,Cote d'Ivoire,Crystal Palace,ENG
42,Reece James ,45.0, Right-Back,22,England,Chelsea FC,ENG
43,Mateo Kovacic ,45.0, Central Midfield,27,Croatia,Chelsea FC,ENG
44,Caglar Söyüncü ,45.0, Centre-Back,25,Turkey,Leicester City,ENG
45,Diogo Jota ,45.0, Left Winger,25,Portugal,Liverpool FC,ENG
46,Cristiano Ronaldo ,45.0, Centre-Forward,36,Portugal,Manchester United,ENG
47,Tanguy Ndombélé ,45.0, Central Midfield,24,France,Tottenham Hotspur,ENG
48,Aymeric Laporte ,45.0, Centre-Back,27,Spain,Manchester City,ENG
49,Rúben Neves ,42.0, Defensive Midfield,24,Portugal,Wolverhampton Wanderers,ENG
50,Luke Shaw ,42.0, Left-Back,26,England,Manchester United,ENG
51,Riyad Mahrez ,42.0, Right Winger,30,Algeria,Manchester City,ENG
52,Tomas Soucek ,42.0, Defensive Midfield,26,Czech Republic,West Ham United,ENG
53,Pierre-Emile Höjbjerg ,40.0, Central Midfield,26,Denmark,Tottenham Hotspur,ENG
54,Martin Ødegaard ,40.0, Attacking Midfield,23,Norway,Arsenal FC,ENG
55,Roberto Firmino ,40.0, Centre-Forward,30,Brazil,Liverpool FC,ENG
56,Ben White ,40.0, Centre-Back,24,England,Arsenal FC,ENG
57,Thomas Partey ,40.0, Defensive Midfield,28,Ghana,Arsenal FC,ENG
58,Aaron Wan-Bissaka ,40.0, Right-Back,24,England,Manchester United,ENG
59,Saúl Ñíguez ,40.0, Central Midfield,27,Spain,Chelsea FC,ENG
60,Wesley Fofana ,40.0, Centre-Back,21,France,Leicester City,ENG
61,Kalvin Phillips ,40.0, Defensive Midfield,26,England,Leeds United,ENG
62,Ilkay Gündogan ,40.0, Central Midfield,31,Germany,Manchester City,ENG
63,Ben Chilwell ,38.0, Left-Back,24,England,Chelsea FC,ENG
64,Hakim Ziyech ,38.0, Attacking Midfield,28,Morocco,Chelsea FC,ENG
65,Emiliano Martínez ,35.0, Goalkeeper,29,Argentina,Aston Villa,ENG
66,Cristian Romero ,35.0, Centre-Back,23,Argentina,Tottenham Hotspur,ENG
67,Harvey Barnes ,35.0, Left Midfield,24,England,Leicester City,ENG
68,Leon Bailey ,35.0, Left Winger,24,Jamaica,Aston Villa,ENG
69,Andreas Christensen ,35.0, Centre-Back,25,Denmark,Chelsea FC,ENG
70,Anthony Martial ,35.0, Centre-Forward,26,France,Manchester United,ENG
71,Emiliano Buendía ,35.0, Right Winger,24,Argentina,Aston Villa,ENG
72,Pedro Neto ,35.0, Left Winger,21,Portugal,Wolverhampton Wanderers,ENG
73,Ibrahima Konaté ,35.0, Centre-Back,22,France,Liverpool FC,ENG
74,Lucas Digne ,35.0, Left-Back,28,France,Everton FC,ENG
75,Nicolas Pépé ,35.0, Right Winger,26,Cote d'Ivoire,Arsenal FC,ENG
76,Douglas Luiz ,35.0, Defensive Midfield,23,Brazil,Aston Villa,ENG
77,Antonio Rüdiger ,35.0, Centre-Back,28,Germany,Chelsea FC,ENG
78,Scott McTominay ,35.0, Defensive Midfield,25,Scotland,Manchester United,ENG
79,Kieran Tierney ,32.0, Left-Back,24,Scotland,Arsenal FC,ENG
80,Nathan Aké ,32.0, Centre-Back,26,Netherlands,Manchester City,ENG
81,Callum Hudson-Odoi ,32.0, Right Winger,21,England,Chelsea FC,ENG
82,Kurt Zouma ,32.0, Centre-Back,27,France,West Ham United,ENG
83,Raphinha ,32.0, Right Winger,25,Brazil,Leeds United,ENG
84,Ivan Toney ,32.0, Centre-Forward,25,England,Brentford FC,ENG
85,Davinson Sánchez ,32.0, Centre-Back,25,Colombia,Tottenham Hotspur,ENG
86,Ollie Watkins ,32.0, Centre-Forward,25,England,Aston Villa,ENG
87,James Ward-Prowse ,32.0, Central Midfield,27,England,Southampton FC,ENG
88,Naby Keïta ,32.0, Central Midfield,26,Guinea,Liverpool FC,ENG
89,Curtis Jones ,30.0, Central Midfield,20,England,Liverpool FC,ENG
90,Bryan Gil ,30.0, Left Winger,20,Spain,Tottenham Hotspur,ENG
91,Nikola Vlasic ,30.0, Attacking Midfield,24,Croatia,West Ham United,ENG
92,Edouard Mendy ,30.0, Goalkeeper,29,Senegal,Chelsea FC,ENG
93,Ricardo Pereira ,30.0, Right-Back,28,Portugal,Leicester City,ENG
94,John Stones ,30.0, Centre-Back,27,England,Manchester City,ENG
95,Jarrod Bowen ,30.0, Right Winger,25,England,West Ham United,ENG
96,Leander Dendoncker ,30.0, Defensive Midfield,26,Belgium,Wolverhampton Wanderers,ENG
97,Tyrone Mings ,30.0, Centre-Back,28,England,Aston Villa,ENG
98,Allan Saint-Maximin ,30.0, Left Winger,24,France,Newcastle United,ENG
99,Adama Traoré ,30.0, Right Winger,25,Spain,Wolverhampton Wanderers,ENG
