,Player,Market_value(m),Position,Age,Nationality,Club,League
0,Kylian Mbappé ,160.0, Centre-Forward,23,France,Paris Saint-Germain,FRA
1,Neymar ,90.0, Left Winger,29,Brazil,Paris Saint-Germain,FRA
2,Marquinhos ,75.0, Centre-Back,27,Brazil,Paris Saint-Germain,FRA
3,Achraf Hakimi ,70.0, Right-Back,23,Morocco,Paris Saint-Germain,FRA
4,Gianluigi Donnarumma ,65.0, Goalkeeper,22,Italy,Paris Saint-Germain,FRA
5,Lionel Messi ,60.0, Right Winger,34,Argentina,Paris Saint-Germain,FRA
6,Marco Verratti ,55.0, Central Midfield,29,Italy,Paris Saint-Germain,FRA
7,Jonathan David ,50.0, Centre-Forward,21,Canada,LOSC Lille,FRA
8,Amine Gouiri ,45.0, Centre-Forward,21,France,OGC Nice,FRA
9,Presnel Kimpembe ,40.0, Centre-Back,26,France,Paris Saint-Germain,FRA
10,Aurélien Tchouaméni ,40.0, Defensive Midfield,21,France,AS Monaco,FRA
11,Nuno Mendes ,40.0, Left-Back,19,Portugal,Paris Saint-Germain,FRA
12,Lucas Paquetá ,35.0, Attacking Midfield,24,Brazil,Olympique Lyon,FRA
13,Houssem Aouar ,32.0, Central Midfield,23,France,Olympique Lyon,FRA
14,Bruno Guimarães ,30.0, Defensive Midfield,24,Brazil,Olympique Lyon,FRA
15,Renato Sanches ,30.0, Central Midfield,24,Portugal,LOSC Lille,FRA
16,Sven Botman ,30.0, Centre-Back,21,Netherlands,LOSC Lille,FRA
17,Wissam Ben Yedder ,28.0, Centre-Forward,31,France,AS Monaco,FRA
18,Benoît Badiashile ,28.0, Centre-Back,20,France,AS Monaco,FRA
19,Mauro Icardi ,28.0, Centre-Forward,28,Argentina,Paris Saint-Germain,FRA
20,Georginio Wijnaldum ,25.0, Central Midfield,31,Netherlands,Paris Saint-Germain,FRA
21,Aleksandr Golovin ,25.0, Attacking Midfield,25,Russia,AS Monaco,FRA
22,Boubacar Kamara ,25.0, Defensive Midfield,22,France,Olympique Marseille,FRA
23,Thilo Kehrer ,25.0, Centre-Back,25,Germany,Paris Saint-Germain,FRA
24,Jérémy Doku ,25.0, Right Winger,19,Belgium,Stade Rennais FC,FRA
25,Abdou Diallo ,25.0, Left-Back,25,Senegal,Paris Saint-Germain,FRA
26,William Saliba ,24.0, Centre-Back,20,France,Olympique Marseille,FRA
27,Kevin Volland ,22.0, Centre-Forward,29,Germany,AS Monaco,FRA
28,Jonathan Bamba ,22.0, Left Winger,25,France,LOSC Lille,FRA
29,Mattéo Guendouzi ,22.0, Central Midfield,22,France,Olympique Marseille,FRA
30,Jonathan Ikoné ,22.0, Right Winger,23,France,LOSC Lille,FRA
31,Pape Sarr ,20.0, Defensive Midfield,19,Senegal,FC Metz,FRA
32,Kasper Dolberg ,20.0, Centre-Forward,24,Denmark,OGC Nice,FRA
33,Leandro Paredes ,20.0, Defensive Midfield,27,Argentina,Paris Saint-Germain,FRA
34,Sofiane Diop ,20.0, Attacking Midfield,21,France,AS Monaco,FRA
35,Kamaldeen Sulemana ,20.0, Left Winger,19,Ghana,Stade Rennais FC,FRA
36,Rayan Cherki ,20.0, Attacking Midfield,18,France,Olympique Lyon,FRA
37,Julian Draxler ,20.0, Left Winger,28,Germany,Paris Saint-Germain,FRA
38,Jason Denayer ,20.0, Centre-Back,26,Belgium,Olympique Lyon,FRA
